batter,min_hit_speed,player_type,avg_hit_speed,rowId,avg_hr_distance,name,attempts,max_distance,player_id,brl_pa,barrels,avg_distance,max_hit_speed,season,fbld,brl_percent,gb
408045,31.2,batter,89.6,row_408045,400,Joe Mauer,448,434,408045,2.6%,17,194,107.6,2015,94.5,3.8%,86.8
572033,46.8,batter,86.5,row_572033,395,Josh Phegley,147,424,572033,3.3%,8,219,107.6,2015,90.3,5.4%,82.5
425844,36.1,batter,87.1,row_425844,401,Zack Greinke,46,407,425844,2.6%,2,190,107.5,2015,93.0,4.3%,85.9
448605,63.2,batter,93.1,row_448605,415,Justin Ruggiano,69,446,448605,9.2%,13,231,107.5,2015,94.6,18.8%,89.7
458085,34.4,batter,89.2,row_458085,397,Chris Coghlan,300,423,458085,4.0%,20,219,107.5,2015,92.1,6.7%,86.2
518568,50.9,batter,84.8,row_518568,,Christian Colon,75,372,518568,0.8%,1,186,107.5,2015,86.3,1.3%,84.6
430404,55.3,batter,89.1,row_430404,416,Jonny Gomes,122,451,430404,3.1%,8,218,107.5,2015,92.2,6.6%,86.4
519299,23.0,batter,85.0,row_519299,410,Eric Sogard,287,410,519299,0.2%,1,193,107.5,2015,86.6,0.3%,86.0
500743,37.6,batter,87.9,row_500743,365,Miguel Rojas,103,385,500743,0.6%,1,185,107.4,2015,87.9,1.0%,89.8
435522,46.3,batter,89.3,row_435522,398,Neil Walker,404,437,435522,4.1%,25,221,107.4,2015,93.2,6.2%,85.6
429713,52.4,batter,89.7,row_429713,400,Grady Sizemore,197,430,429713,3.0%,9,216,107.4,2015,90.4,4.6%,89.1
542255,32.3,batter,85.0,row_542255,384,Ender Inciarte,385,396,542255,0.5%,3,196,107.3,2015,87.7,0.8%,84.6
605113,37.6,batter,86.0,row_605113,387,Nick Ahmed,279,402,605113,1.1%,5,209,107.3,2015,88.9,1.8%,85.0
425900,37.4,batter,87.2,row_425900,380,Dioner Navarro,133,410,425900,4.2%,8,222,107.3,2015,91.5,6.0%,82.0
592200,51.6,batter,91.5,row_592200,382,Curt Casali,64,429,592200,7.1%,8,243,107.3,2015,94.0,12.5%,89.5
446653,59.6,batter,88.0,row_446653,417,Jose Lobaton,85,436,446653,3.2%,5,200,107.3,2015,91.1,5.9%,85.2
429666,28.4,batter,87.9,row_429666,397,J.J. Hardy,273,424,429666,1.6%,7,200,107.3,2015,90.9,2.6%,86.4
544369,32.5,batter,85.4,row_544369,388,Didi Gregorius,396,416,544369,0.9%,5,198,107.3,2015,87.8,1.3%,84.1
571788,39.2,batter,86.9,row_571788,388,Brock Holt,313,395,571788,0.4%,2,195,107.2,2015,88.7,0.6%,86.0
543432,48.8,batter,92.0,row_543432,421,Ryan Lavarnway,56,443,543432,2.8%,3,225,107.2,2015,92.7,5.4%,91.4
452220,37.7,batter,86.4,row_452220,377,Stephen Drew,269,397,452220,2.6%,11,216,107.2,2015,89.2,4.1%,84.0
514917,35.2,batter,85.2,row_514917,394,Cesar Hernandez,277,402,514917,0.9%,4,187,107.2,2015,89.2,1.4%,84.0
493351,31.5,batter,84.8,row_493351,388,Alexei Ramirez,443,412,493351,1.1%,7,190,107.2,2015,88.1,1.6%,83.2
488768,36.5,batter,82.4,row_488768,,Andrew Cashner,25,370,488768,1.6%,1,134,107.2,2015,88.0,4.0%,85.7
425557,37.2,batter,85.8,row_425557,416,Jeff Baker,46,437,425557,2.5%,2,180,107.2,2015,94.3,4.3%,79.7
571553,65.9,batter,88.3,row_571553,407,Darrell Ceciliani,34,407,571553,1.3%,1,204,107.1,2015,93.5,2.9%,80.9
430611,41.0,batter,80.7,row_430611,436,Corey Hart,33,449,430611,3.5%,2,159,107.1,2015,86.3,6.1%,75.5
518577,49.7,batter,84.3,row_518577,,Collin Cowgill,40,403,518577,1.4%,1,186,107.1,2015,89.8,2.5%,80.2
625329,66.4,batter,94.4,row_625329,,Henry Urrutia,21,362,625329,0.0%,0,232,107.1,2015,92.9,0.0%,96.8
547179,43.4,batter,87.9,row_547179,,Michael Lorenzen,21,367,547179,0.0%,0,187,107.1,2015,93.9,0.0%,85.5
605227,47.6,batter,87.1,row_605227,406,Taylor Featherston,92,406,605227,2.4%,4,206,107.1,2015,90.4,4.3%,85.7
588751,33.9,batter,87.8,row_588751,402,Adeiny Hechavarria,347,426,588751,1.0%,5,198,107.1,2015,90.3,1.4%,86.4
448170,53.3,batter,87.5,row_448170,364,Travis Ishikawa,36,389,448170,5.6%,4,209,107.0,2015,92.6,11.1%,87.2
467798,72.4,batter,94.3,row_467798,,Jose Tabata,29,334,467798,0.0%,0,177,107.0,2015,95.2,0.0%,93.8
648717,45.4,batter,87.4,row_648717,402,Alex Guerrero,139,436,648717,5.2%,12,219,107.0,2015,91.9,8.6%,81.5
467070,52.2,batter,85.1,row_467070,388,Elian Herrera,168,403,467070,1.8%,5,212,107.0,2015,89.7,3.0%,80.8
451089,38.5,batter,89.9,row_451089,396,Shane Peterson,120,414,451089,1.8%,4,209,107.0,2015,91.3,3.3%,89.8
543216,47.8,batter,87.4,row_543216,391,Conor Gillaspie,166,405,543216,2.0%,5,203,107.0,2015,91.9,3.0%,83.1
543760,47.2,batter,87.4,row_543760,391,Marcus Semien,376,419,543760,2.8%,17,213,106.9,2015,92.0,4.5%,81.5
543401,33.7,batter,89.6,row_543401,389,Jason Kipnis,422,435,543401,2.7%,17,215,106.9,2015,92.6,4.0%,87.0
485567,35.6,batter,85.9,row_485567,360,Ezequiel Carrera,106,398,485567,3.1%,6,178,106.9,2015,88.5,5.7%,85.6
433217,37.6,batter,87.7,row_433217,394,Andres Blanco,157,410,433217,4.6%,12,201,106.9,2015,90.9,7.6%,86.3
543829,29.7,batter,83.9,row_543829,372,Dee Gordon,450,409,543829,0.8%,5,170,106.9,2015,87.1,1.1%,82.7
400085,36.0,batter,83.1,row_400085,,Ichiro Suzuki,312,380,400085,0.5%,2,167,106.9,2015,85.5,0.6%,81.9
599096,40.3,batter,85.2,row_599096,387,Dilson Herrera,60,405,599096,2.0%,2,202,106.9,2015,86.8,3.3%,84.6
518614,46.3,batter,87.8,row_518614,393,Daniel Descalso,113,410,518614,1.9%,4,212,106.8,2015,89.4,3.5%,88.4
572182,66.0,batter,90.5,row_572182,412,Darnell Sweeney,45,445,572182,4.1%,4,224,106.7,2015,93.4,8.9%,88.6
605412,32.7,batter,87.0,row_605412,392,Joe Panik,300,422,605412,1.9%,8,204,106.7,2015,90.0,2.7%,85.2
605509,56.5,batter,88.0,row_605509,368,Kelby Tomlinson,110,382,605509,0.0%,0,192,106.7,2015,88.5,0.0%,88.9
456422,34.7,batter,85.2,row_456422,,Michael Bourn,285,390,456422,1.0%,5,202,106.7,2015,88.4,1.8%,83.7
608070,36.2,batter,86.5,row_608070,402,Jose Ramirez,238,447,608070,1.7%,6,204,106.7,2015,87.7,2.5%,87.5
452678,37.8,batter,88.5,row_452678,393,Asdrubal Cabrera,361,446,452678,4.5%,25,224,106.7,2015,92.1,6.9%,86.1
608701,58.6,batter,90.5,row_608701,416,Rob Refsnyder,33,436,608701,4.3%,2,181,106.7,2015,92.2,6.1%,89.2
571946,58.9,batter,90.1,row_571946,,Shelby Miller,19,373,571946,2.8%,2,221,106.6,2015,91.2,10.5%,89.0
621439,46.5,batter,87.1,row_621439,398,Byron Buxton,65,412,621439,2.2%,3,209,106.6,2015,89.3,4.6%,85.6
493472,34.1,batter,87.3,row_493472,398,Eric Campbell,128,416,493472,1.9%,4,202,106.6,2015,90.5,3.1%,85.0
475115,37.1,batter,91.6,row_475115,392,Tyson Ross,30,420,475115,2.9%,2,203,106.6,2015,93.1,6.7%,94.0
545338,42.7,batter,84.8,row_545338,406,Nick Franklin,56,420,545338,4.6%,5,220,106.6,2015,90.4,8.9%,77.6
573135,38.3,batter,86.4,row_573135,391,Tyler Saladino,154,403,573135,1.6%,4,183,106.6,2015,89.9,2.6%,85.5
407793,37.1,batter,80.5,row_407793,,John Lackey,33,354,407793,0.0%,0,160,106.5,2015,89.2,0.0%,79.6
572365,33.1,batter,87.5,row_572365,385,Ryan Goins,262,425,572365,1.6%,7,182,106.5,2015,90.0,2.7%,86.5
514888,33.2,batter,86.1,row_514888,386,Jose Altuve,522,410,514888,2.9%,20,203,106.5,2015,90.3,3.8%,83.6
449107,34.7,batter,86.8,row_449107,386,Mike Aviles,224,414,449107,0.6%,2,192,106.5,2015,87.9,0.9%,87.4
592314,76.8,batter,84.7,row_592314,,Mike Foltynewicz,6,288,592314,0.0%,0,182,106.5,2015,89.4,0.0%,80.0
488912,38.4,batter,88.7,row_488912,370,Tuffy Gosewisch,80,401,488912,0.0%,0,198,106.4,2015,92.4,0.0%,85.9
452672,53.2,batter,86.1,row_452672,387,Ryan Hanigan,121,401,452672,1.0%,2,191,106.4,2015,89.0,1.7%,84.1
622110,35.8,batter,88.1,row_622110,391,Matt Duffy,423,431,622110,2.9%,18,200,106.4,2015,90.5,4.3%,86.7
594824,38.2,batter,84.1,row_594824,404,Greg Garcia,51,405,594824,2.3%,2,186,106.4,2015,90.8,3.9%,81.9
542208,35.7,batter,86.4,row_542208,396,Carlos Perez,181,408,542208,1.4%,4,208,106.4,2015,88.0,2.2%,86.1
600474,106.4,batter,106.4,row_600474,,Pedro Severino,1,370,600474,25.0%,1,370,106.4,2015,106.4,100.0%,
459431,68.9,batter,90.6,row_459431,,Michael Saunders,20,355,459431,2.8%,1,143,106.3,2015,101.2,5.0%,87.1
460055,49.2,batter,85.9,row_460055,405,John Mayberry,69,413,460055,2.5%,3,206,106.3,2015,91.2,4.3%,78.4
453203,38.4,batter,84.2,row_453203,,Shane Robinson,131,394,453203,0.5%,1,181,106.3,2015,88.1,0.8%,83.1
611177,45.7,batter,89.1,row_611177,394,Adonis Garcia,142,419,611177,5.1%,10,207,106.3,2015,91.5,7.0%,87.2
543308,74.4,batter,93.5,row_543308,,John Hicks,13,367,543308,0.0%,0,240,106.3,2015,93.8,0.0%,97.5
475243,60.4,batter,79.0,row_475243,,Travis Wood,12,373,475243,0.0%,0,180,106.2,2015,81.5,0.0%,79.9
445055,39.7,batter,86.3,row_445055,416,Jon Jay,153,416,445055,0.8%,2,177,106.2,2015,89.7,1.3%,86.0
592696,30.8,batter,87.9,row_592696,401,Eddie Rosario,295,433,592696,4.2%,20,222,106.2,2015,91.6,6.8%,83.5
645848,68.8,batter,92.5,row_645848,385,Dariel Alvarez,14,385,645848,3.2%,1,226,106.2,2015,90.1,7.1%,96.8
444876,35.3,batter,84.4,row_444876,395,Alcides Escobar,475,407,444876,0.8%,5,198,106.2,2015,86.6,1.1%,84.1
430203,35.9,batter,87.1,row_430203,391,David DeJesus,214,408,430203,1.9%,6,201,106.2,2015,90.9,2.8%,84.8
593495,34.2,batter,81.7,row_593495,369,Daniel Castro,61,382,593495,0.0%,0,170,106.2,2015,84.2,0.0%,80.3
552662,58.4,batter,87.7,row_552662,404,Stefen Romero,14,404,552662,4.2%,1,238,106.2,2015,92.0,7.1%,82.1
518911,62.0,batter,90.3,row_518911,,Andrew Lambo,14,384,518911,3.7%,1,207,106.2,2015,96.5,7.1%,85.9
605452,37.8,batter,79.7,row_605452,,Joe Ross,15,298,605452,0.0%,0,155,106.2,2015,80.9,0.0%,80.7
451109,40.9,batter,84.7,row_451109,406,Brett Hayes,22,420,451109,8.3%,3,239,106.1,2015,90.4,13.6%,77.5
593647,48.5,batter,85.1,row_593647,,Socrates Brito,17,361,593647,2.9%,1,193,106.1,2015,88.3,5.9%,89.3
545358,48.9,batter,90.6,row_545358,404,Max Stassi,10,404,545358,5.9%,1,239,106.1,2015,94.9,10.0%,95.9
434540,53.0,batter,89.8,row_434540,389,Garrett Jones,94,409,434540,3.3%,5,203,106.1,2015,92.5,5.3%,89.4
595005,47.1,batter,85.4,row_595005,375,Ryan Strausborger,30,387,595005,2.0%,1,211,106.0,2015,90.9,3.3%,82.0
457926,61.1,batter,86.8,row_457926,,Paul Janish,28,361,457926,0.0%,0,201,106.0,2015,86.4,0.0%,88.3
430897,50.5,batter,87.2,row_430897,378,Nick Swisher,151,397,430897,2.7%,7,203,106.0,2015,92.9,4.6%,82.3
449786,56.8,batter,86.3,row_449786,374,Carlos Corporan,63,404,449786,4.1%,5,211,106.0,2015,88.8,7.9%,82.7
491696,34.6,batter,85.3,row_491696,387,Jesus Sucre,88,387,491696,0.0%,0,177,106.0,2015,87.0,0.0%,86.9
570560,34.6,batter,85.3,row_570560,381,Carlos Sanchez,269,490,570560,1.4%,6,187,105.9,2015,88.6,2.2%,83.4
502182,59.6,batter,91.2,row_502182,398,Steve Clevenger,68,406,502182,2.9%,3,231,105.9,2015,95.0,4.4%,87.3
465784,38.5,batter,88.3,row_465784,,Everth Cabrera,59,346,465784,0.0%,0,151,105.9,2015,90.1,0.0%,88.6
571868,51.5,batter,88.3,row_571868,416,Marc Krauss,43,441,571868,3.7%,3,238,105.8,2015,92.6,7.0%,82.0
476704,52.1,batter,89.4,row_476704,374,Jed Lowrie,176,443,476704,2.3%,6,229,105.8,2015,91.9,3.4%,85.8
435559,35.0,batter,88.3,row_435559,393,Kurt Suzuki,332,405,435559,0.6%,3,204,105.8,2015,90.3,0.9%,87.0
537953,46.6,batter,86.8,row_537953,370,Daniel Nava,94,402,537953,1.8%,3,205,105.8,2015,90.8,3.2%,82.7
