1011,Ryan Vogelsong,Giants,66,3.0 %,30.3 %,0.10,.115,.156,.148,.304,.033,1.6,.171, , ,0.0,-1,-8.5,.143,-13
6397,Jake Odorizzi,Rays,6,16.7 %,50.0 %,0.33,.000,.200,.000,.200,.000,0.1,.000, , ,0.0,0,-0.8,.138,-19
13048,Hisashi Iwakuma,Mariners,6,16.7 %,50.0 %,0.33,.000,.200,.000,.200,.000,0.1,.000, , ,0.0,0,-0.8,.138,-19
11366,Brandon Cumpton,Pirates,20,5.0 %,35.0 %,0.14,.118,.167,.118,.284,.000,1.6,.200, , ,0.0,0,-2.6,.137,-19
6230,Kyle Kendrick,Phillies,71,1.4 %,43.7 %,0.03,.136,.149,.152,.301,.015,0.8,.257, , ,0.0,-2,-9.5,.136,-22
1118,Marco Estrada,Brewers,40,7.5 %,32.5 %,0.23,.094,.171,.094,.265,.000,0.1,.158, , ,0.0,-1,-5.4,.136,-26
4538,Jason Hammel,- - -,43,2.3 %,32.6 %,0.07,.135,.158,.135,.293,.000,1.6,.217, , ,0.0,-1,-5.9,.135,-25
2155,Alfredo Simon,Reds,67,1.5 %,31.3 %,0.05,.119,.133,.169,.303,.051,1.1,.184, , ,0.0,-2,-9.0,.135,-25
6893,Johnny Cueto,Reds,82,2.4 %,24.4 %,0.10,.132,.157,.132,.289,.000,1.2,.188, , ,0.0,-2,-11.0,.134,-26
10354,Robbie Erlin,Padres,19,5.3 %,31.6 %,0.17,.111,.158,.111,.269,.000,0.1,.167, , ,0.0,-1,-2.6,.130,-23
739,Kyle Lohse,Brewers,74,2.7 %,31.1 %,0.09,.115,.154,.115,.269,.000,0.9,.179, , ,0.0,-2,-10.3,.128,-31
976,Randy Wolf,Marlins,7,0.0 %,14.3 %,0.00,.143,.143,.143,.286,.000,0.1,.167, , ,0.0,0,-1.0,.127,-27
6432,Tim Stauffer,Padres,8,0.0 %,25.0 %,0.00,.143,.143,.143,.286,.000,0.1,.200, , ,0.0,0,-1.1,.127,-25
12555,Tony Cingrani,Reds,22,0.0 %,22.7 %,0.00,.143,.143,.143,.286,.000,0.1,.188, , ,0.0,-1,-3.1,.127,-30
8678,Paul Maholm,Dodgers,16,12.5 %,37.5 %,0.33,.000,.182,.000,.182,.000,2.6,.000, , ,0.0,-1,-2.3,.125,-25
2929,Jeff Locke,Pirates,50,4.0 %,60.0 %,0.07,.111,.149,.111,.260,.000,2.2,.333, , ,0.0,-2,-7.1,.124,-28
3201,Francisco Liriano,Pirates,52,3.8 %,26.9 %,0.14,.111,.149,.111,.260,.000,0.4,.161, , ,0.0,-2,-7.4,.124,-28
3200,Ervin Santana,Braves,73,2.7 %,38.4 %,0.07,.111,.138,.127,.265,.016,2.6,.200, , ,0.0,-3,-10.5,.123,-31
4662,Brandon McCarthy,- - -,32,0.0 %,34.4 %,0.00,.138,.138,.138,.276,.000,0.1,.222, , ,0.0,-1,-4.6,.123,-37
5057,Yohan Flande,Rockies,17,5.9 %,35.3 %,0.17,.083,.154,.083,.237,.000,0.1,.167, , ,0.0,-1,-2.5,.122,-50
12572,Blake Treinen,Nationals,15,6.7 %,53.3 %,0.13,.083,.154,.083,.237,.000,0.1,.250, , ,0.0,-1,-2.2,.122,-33
2072,Jeremy Guthrie,Royals,7,0.0 %,14.3 %,0.00,.000,.167,.000,.167,.000,0.1,.000, , ,0.0,0,-1.0,.120,-37
1507,John Lackey,- - -,19,0.0 %,26.3 %,0.00,.133,.133,.133,.267,.000,2.6,.200, , ,0.0,-1,-2.8,.119,-33
