PlayerID,Name,wOBA
9774,Christian Vazquez,.257
11339,Jake Marisnick,.257
10323,Rafael Ortega,.257
4900,Robert Andino,.256
454,Juan Uribe,.256
10459,Adeiny Hechavarria,.256
11241,Mike Freeman,.256
13807,Kevin Plawecki,.255
2505,Hank Conger,.254
6835,Nick Buss,.254
11602,Carlos Sanchez,.253
3395,Cliff Pennington,.253
4016,Jerry Sands,.252
7358,Michael Martinez,.252
6867,Derek Norris,.252
15117,Hunter Dozier,.250
11165,Ramon Flores,.250
14344,Matt Olson,.248
9063,Alexi Amarista,.248
14350,Raimel Tapia,.248
5305,Alex Presley,.247
629,Brandon Barnes,.247
12701,Billy Burns,.247
10642,Carlos Perez,.246
4712,Ben Revere,.246
8385,Pedro Florimon,.245
9929,Darin Ruf,.245
12147,Nick Ahmed,.245
16246,A.J. Reed,.245
13180,Tyler Goeddel,.244
9741,Ben Paulsen,.243
11773,Jason Rogers,.243
7412,Paul Janish,.241
11746,Stefen Romero,.240
6677,J.B. Shuck,.240
13633,Preston Tucker,.239
4106,Michael Brantley,.238
10961,Colin Walsh,.237
4626,James Beresford,.237
11402,Kyle Waldrop,.237
6938,Eric Campbell,.237
10882,Jared Hoying,.236
5986,Mike Aviles,.236
746,A.J. Pierzynski,.236
12944,Socrates Brito,.233
9807,Ryan Goins,.232
15197,Carlos Asuaje,.232
11251,Andy Wilkins,.230
13130,Mikie Mahtook,.229
17232,Yoan Moncada,.228
5277,Tuffy Gosewisch,.228
4249,Shane Robinson,.227
8298,Francisco Pena,.227
14818,JaCoby Jones,.227
11472,Dixon Machado,.227
13769,Raul Mondesi,.226
9627,Yan Gomes,.225
13288,Peter O'Brien,.225
12926,Alen Hanson,.225
6086,Casey McGehee,.225
11863,Yadiel Rivera,.223
4054,Emilio Bonifacio,.222
12158,Austin Barnes,.222
8433,Ike Davis,.222
5519,Ruben Tejada,.221
9373,Matt McBride,.220
9689,Josh Thole,.220
17528,Hector Olivera,.218
13443,Tony Renda,.213
4952,Ryan Hanigan,.212
2216,Don Kelly,.209
1201,Carl Crawford,.208
8380,Reid Brignac,.207
7125,Alberto Rosario,.206
10711,Arismendy Alcantara,.204
13228,Michael Reed,.204
13620,Carson Kelly,.203
8609,Tim Federowicz,.203
15450,Daniel Castro,.201
