PlayerID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
629,Brandon Barnes,Astros,7,5,7,4,4,0,0,0,0,6,.800,0,0,0,1,1,0,0,0,.800
9785,Kyle Seager,Mariners,6,5,6,4,3,1,0,0,0,6,.800,0,0,0,1,0,0,0,0,.800
950,Marlon Byrd,Mets,4,4,4,3,2,1,0,0,0,5,.750,0,0,0,0,0,0,0,0,.750
1534,Michael Cuddyer,Rockies,5,4,5,3,3,0,0,0,0,5,.750,0,0,0,1,0,0,0,0,.750
1679,Chase Utley,Phillies,4,4,4,3,3,0,0,0,0,3,.750,0,0,0,0,0,0,0,0,.750
1825,David DeJesus,Cubs,4,4,4,3,2,1,0,0,0,6,.750,0,0,0,0,0,0,0,0,.750
2041,John Buck,Mets,3,4,4,3,3,0,0,0,0,4,.750,0,0,0,0,0,0,0,0,.750
3123,Gregor Blanco,Giants,6,4,6,3,2,1,0,0,0,5,.750,0,0,0,2,0,0,0,0,.750
4316,Daniel Murphy,Mets,5,4,5,3,1,1,1,0,0,4,.750,0,0,0,1,0,0,0,0,.750
5038,Josh Donaldson,Athletics,7,4,7,3,3,0,0,0,0,7,.750,0,0,0,3,0,0,0,0,.750
9077,Lorenzo Cain,Royals,5,4,5,3,2,0,1,0,0,5,.750,0,0,0,1,0,0,0,0,.750
9958,Jeff Bianchi,Brewers,5,4,6,3,2,1,0,0,0,8,.750,0,0,0,1,1,0,0,0,.750
548,Lance Berkman,Rangers,6,7,7,5,4,1,0,0,0,7,.714,0,0,0,0,0,0,0,0,.714
8610,Kendrys Morales,Mariners,7,7,7,5,5,0,0,0,0,7,.714,0,0,0,0,0,0,0,0,.714
9218,Paul Goldschmidt,Diamondbacks,8,7,8,5,2,3,0,0,0,7,.714,0,0,0,1,0,0,0,0,.714
211,Will Venable,Padres,6,6,6,4,4,0,0,0,0,4,.667,0,0,0,0,0,0,0,0,.667
319,Adam Dunn,White Sox,3,3,3,2,2,0,0,0,0,2,.667,0,0,0,0,0,0,0,0,.667
432,Todd Helton,Rockies,4,3,4,2,2,0,0,0,0,4,.667,0,0,0,1,0,0,0,0,.667
1191,Chris Johnson,Braves,3,3,3,2,1,1,0,0,0,3,.667,0,0,0,0,0,0,0,0,.667
1429,Nick Punto,Dodgers,4,3,4,2,2,0,0,0,0,4,.667,0,0,0,1,0,0,0,0,.667
1555,Marco Scutaro,Giants,4,3,4,2,2,0,0,0,0,2,.667,0,0,0,1,0,0,0,0,.667
1609,Omar Infante,Tigers,3,3,3,2,2,0,0,0,0,2,.667,0,0,0,0,0,0,0,0,.667
2158,Greg Dobbs,Marlins,4,3,5,2,1,1,0,0,0,4,.667,0,0,0,2,0,0,0,0,.667
2437,Maicer Izturis,Blue Jays,7,6,7,4,3,1,0,0,0,7,.667,0,0,0,1,0,0,0,0,.667
2784,Derrick Robinson,Reds,3,3,3,2,2,0,0,0,0,2,.667,0,0,0,0,0,0,0,0,.667
3174,Shin-Soo Choo,Reds,4,3,4,2,2,0,0,0,0,5,.667,0,0,0,1,0,0,0,0,.667
3336,Alberto Callaspo,- - -,5,3,5,2,2,0,0,0,0,4,.667,0,0,0,2,0,0,0,0,.667
3410,Ryan Braun,Brewers,3,3,3,2,1,1,0,0,0,2,.667,0,0,0,0,0,0,0,0,.667
3501,Brent Lillibridge,Yankees,2,3,3,2,1,1,0,0,0,3,.667,0,0,0,0,0,0,0,0,.667
