PlayerID,Name,wOBA
9063,Alexi Amarista,.274
2179,Ronny Cedeno,.273
3395,Cliff Pennington,.273
3817,Joaquin Arias,.273
9591,Jeff Kobernus,.273
8203,Dee Gordon,.273
8385,Pedro Florimon,.273
768,Endy Chavez,.272
6400,Kirk Nieuwenhuis,.272
7185,Logan Forsythe,.272
8259,Kurt Suzuki,.271
6341,Luis Jimenez,.271
4675,Tyler Greene,.271
9628,Michael McKenry,.271
2830,Travis Snider,.271
3373,Clete Thomas,.270
1159,Andrew Romine,.270
5422,Steve Lombardozzi,.269
7937,Logan Schafer,.269
2437,Maicer Izturis,.269
1417,Ramon Santiago,.268
2178,Brendan Harris,.268
9807,Ryan Goins,.267
5278,Pedro Ciriaco,.267
2161,Jason Kubel,.267
2172,Hector Gimenez,.267
25,Jose Molina,.266
8609,Tim Federowicz,.266
7168,Juan Centeno,.266
10593,Joey Terdoslavich,.266
8175,Chris Nelson,.266
1165,Chris Valaika,.266
5297,Aaron Hicks,.266
3856,Jeff Keppinger,.266
7244,Tyler Moore,.265
2158,Greg Dobbs,.265
9134,Tyler Flowers,.265
443,Juan Pierre,.264
3402,Trevor Crowe,.263
6402,Brent Morel,.263
5514,Jesus Montero,.263
6335,Omar Quintanilla,.262
2677,Jordan Pacheco,.262
1281,Mark Teixeira,.262
4464,Mike Baxter,.262
3878,Chris Stewart,.261
7250,Collin Cowgill,.261
9682,Adam Rosales,.261
12434,Kevin Pillar,.259
1135,Yorvit Torrealba,.259
697,J.P. Arencibia,.259
1554,DeWayne Wise,.259
14441,Henry Urrutia,.257
6732,Zoilo Almonte,.257
8585,Yuniesky Betancourt,.257
3209,Julio Borbon,.257
5098,Jordany Valdespin,.254
5496,Francisco Peguero,.254
7739,Travis d'Arnaud,.254
3441,Nolan Reimold,.253
2102,Josh Wilson,.253
5497,Marwin Gonzalez,.253
3648,Rene Rivera,.252
1888,Chad Tracy,.252
9958,Jeff Bianchi,.252
5248,Alexi Casilla,.252
5015,Melvin Upton Jr.,.252
4952,Ryan Hanigan,.252
2430,Darwin Barney,.252
10459,Adeiny Hechavarria,.251
3388,Chris Getz,.251
9856,Brandon Snyder,.250
1305,Eric Hinske,.250
11385,Matt den Dekker,.250
6601,Luke Montz,.250
10154,Donald Lutz,.249
3443,Chris Robinson,.249
826,Derek Jeter,.247
6310,Alcides Escobar,.247
5491,Austin Romine,.247
11737,Nick Castellanos,.247
1885,Brad Hawpe,.247
6898,Dave Sappelt,.246
8254,Sam Fuld,.246
6421,Roger Bernadina,.245
5212,Alfredo Marte,.244
1830,Clint Barmes,.244
144,Jerry Hairston,.244
4918,Engel Beltre,.244
5888,Cole Gillespie,.243
7389,David Adams,.243
2539,Pete Kozma,.241
5827,Wilmer Flores,.241
9048,Ezequiel Carrera,.240
4751,Elliot Johnson,.240
6073,Brendan Ryan,.238
10655,Rob Brantly,.238
4006,Justin Sellers,.237
1591,Jamey Carroll,.237
5225,Roger Kieschnick,.237
7223,Alex Castellanos,.237
5519,Ruben Tejada,.236
3448,Jeff Mathis,.236
9345,Brock Holt,.236
4792,Jeff Francoeur,.235
7989,Guillermo Quiroz,.235
2802,Tony Cruz,.234
6887,Martin Maldonado,.234
4875,Logan Watkins,.233
656,Cesar Izturis,.233
3142,Robinson Chirinos,.232
332,Austin Kearns,.232
9689,Josh Thole,.231
9542,Steve Clevenger,.230
6003,Jose Constanza,.229
9308,Josh Phegley,.229
7945,Jaff Decker,.228
9210,Fernando Martinez,.227
4900,Robert Andino,.226
9312,Ryan Wheeler,.225
2748,Pete Orr,.224
8029,Rob Johnson,.224
5432,Elian Herrera,.222
6165,Irving Falu,.222
10822,Todd Cunningham,.222
1042,Mark Kotsay,.221
81,Henry Blanco,.220
4121,Jordan Brown,.220
6746,Josh Prince,.218
5913,Leury Garcia,.217
11339,Jake Marisnick,.216
5481,Jimmy Paredes,.216
6880,Nick Noonan,.215
1766,Laynce Nix,.213
2881,Scott Sizemore,.212
10416,Wilfredo Tovar,.212
4906,Alberto Gonzalez,.211
8380,Reid Brignac,.210
5199,Taylor Teagarden,.209
5223,Cameron Maybin,.209
9219,Danny Espinosa,.206
4756,John Baker,.206
5310,Tyler Colvin,.204
7316,Darin Mastroianni,.203
7412,Paul Janish,.201
5942,Jesus Sucre,.201
5751,Hernan Perez,.198
470,Brandon Inge,.198
1491,Ty Wigginton,.197
4049,Miguel Gonzalez,.197
7423,Shane Peterson,.197
1771,Matt Diaz,.197
4677,Ben Francisco,.197
520,Alex Gonzalez,.194
4606,Chris Snyder,.189
9461,Thomas Neal,.188
8587,Steve Susdorf,.182
10329,Reymond Fuentes,.181
2783,Johnny Monell,.179
395,John McDonald,.178
4611,Jason Pridie,.178
5298,Kyle Skipworth,.173
3751,Felix Pie,.171
7995,Adron Chambers,.171
10346,John Ryan Murphy,.171
5277,Tuffy Gosewisch,.171
1829,Koyie Hill,.169
3188,Luis Cruz,.169
12532,Kolten Wong,.168
9423,Chris McGuiness,.168
7515,Jhonatan Solano,.167
9700,Casper Wells,.159
3972,Andy Parrino,.158
7983,Henry Rodriguez,.158
6262,Tommy Field,.157
7358,Michael Martinez,.155
6046,Matt Pagnozzi,.152
193,Carlos Triunfel,.140
173,Scott Cousins,.138
4793,Travis Ishikawa,.123
6835,Nick Buss,.123
3501,Brent Lillibridge,.121
6019,Cody Clark,.119
4984,Brock Peterson,.113
2852,Chris Marrero,.111
9246,Blake Lalli,.111
10299,Eury Perez,.111
5411,Alex Liddi,.109
9871,Bryan Anderson,.103
2498,Jemile Weeks,.099
2591,Michael Taylor,.091
3411,Drew Butera,.089
5663,Neftali Soto,.056
1930,Casey Kotchman,.033
113,Steven Lerud,.000
198,Danny Worth,.000
1861,Wilson Betemit,.000
2167,Dan Johnson,.000
3492,Angel Sanchez,.000
4142,Jonathan Diaz,.000
6444,Andy LaRoche,.000
6596,Ryan Jackson,.000
8631,Cord Phelps,.000
9442,Brandon Bantz,.000
